,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
0,PHX,33.639224,-111.89621,33.435893,-112.008254,1,18.0,20.4878840566
1,PHX,33.639224,-111.89621,33.435893,-112.008254,2,36.0,20.4878840566
2,PHX,33.639224,-111.89621,33.435893,-112.008254,6,108.0,20.4878840566
3,PHX,33.639224,111.89621,33.435893,-112.008254,2,36.0,7014.81554769
4,PHX,33.624801,-111.933007,33.435893,-112.008254,1,20.0,17.3729161068
5,PHX,33.625796,-111.932793,33.435893,-112.008254,1,20.0,17.4539189705
6,PHX,33.624801,-111.933007,33.435893,-112.008254,1,21.0,17.3729161068
7,PHX,33.547957,-111.924799,33.435893,-112.008254,2,32.0,12.5417758799
8,PHX,33.452292,-112.070359,33.435893,-112.008254,1,12.0,4.70906809151
9,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
10,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
11,PHX,33.527192,-111.928425,33.435893,-112.008254,1,17.0,10.8996844194
12,PHX,33.538605,-111.86971,33.435893,-112.008254,1,21.0,15.0693490837
13,PHX,33.383306,-111.719169,33.435893,-112.008254,1,29.0,20.2806216357
14,PHX,33.538605,-111.86971,33.435893,-112.008254,2,42.0,15.0693490837
15,PHX,33.408114,-111.68446,33.435893,-112.008254,2,42.0,20.567526521
16,PHX,33.449593,-112.07132,33.435893,-112.008254,1,12.0,4.57813076474
17,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
18,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
19,PHX,33.594613,-112.063948,33.435893,-112.008254,1,17.0,14.1630545443
20,PHX,33.387461,-111.85366,33.435893,-112.008254,1,16.0,12.2473073227
21,PHX,33.510481,-111.92588,33.435893,-112.008254,1,17.0,9.89285014035
22,PHX,33.449946,-112.071984,33.435893,-112.008254,1,12.0,4.64074112926
23,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
24,PHX,33.62296,-111.93392,33.435893,-112.008254,1,21.0,17.1932591659
25,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
26,PHX,33.376256,-111.97182,33.435893,-112.008254,2,34.0,6.2148118569
27,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
28,PHX,33.624801,-111.933007,33.435893,-112.008254,1,20.0,17.3729161068
29,PHX,33.452292,-112.070359,33.435893,-112.008254,1,12.0,4.70906809151
30,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
31,PHX,33.522442,-112.02228,33.435893,-112.008254,1,14.0,6.78165072667
32,PHX,33.555062,-112.111177,33.435893,-112.008254,2,32.0,14.1535110481
33,PHX,33.449593,-112.07132,33.435893,-112.008254,2,26.0,4.57813076474
34,PHX,33.548098,-111.91671,33.435893,-112.008254,1,21.0,13.0174253904
35,PHX,33.516701,-112.03003,33.435893,-112.008254,1,15.0,6.8317879666
36,PHX,33.647781,-111.91112,33.435893,-112.008254,2,35.2,20.2197042382
37,PHX,33.452237,-112.070541,33.435893,-112.008254,2,26.0,4.71575489074
38,PHX,33.566803,-111.92161,33.435893,-112.008254,1,21.0,14.0262437705
39,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
40,PHX,33.452237,-112.070541,33.435893,-112.008254,1,13.0,4.71575489074
41,PHX,33.624801,-111.933007,33.435893,-112.008254,1,20.0,17.3729161068
42,PHX,33.436729,-112.03642,33.435893,-112.008254,1,8.0,1.68003275655
43,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
44,PHX,33.524305,-112.022672,33.435893,-112.008254,1,15.0,6.93281712549
45,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
46,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
47,PHX,33.350044,-111.974612,33.435893,-112.008254,1,17.0,7.86319541271
48,PHX,33.449946,-112.071984,33.435893,-112.008254,1,12.0,4.64074112926
49,PHX,33.710799,-112.102937,33.435893,-112.008254,1,30.0,24.4281457551
50,PHX,33.625796,-111.932793,33.435893,-112.008254,1,20.0,17.4539189705
51,PHX,33.524305,-112.022672,33.435893,-112.008254,1,14.0,6.93281712549
52,PHX,33.499129,-111.92441,33.435893,-112.008254,1,16.0,9.19398492925
53,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
54,PHX,33.449946,-112.071984,33.435893,-112.008254,3,39.0,4.64074112926
55,PHX,33.625796,-111.932793,33.435893,-112.008254,1,21.0,17.4539189705
